question,answer,explanation,evidence_KG,hop,target_protein_id,interaction_count
"The protein HLA-DRB1 (Q10567) is part of the MHC Class II complex. This complex requires multiple subunits: HLA-DRA (P01906), HLA-DRB1 (Q10567), CD74 (P04233), and HLA-DM (Q9BXS5) for antigen presentation. In a dendritic cell, a loss-of-function mutation in HLA-DM prevents the removal of CLIP from CD74. Simultaneously, a gain-of-function mutation in CD74 enhances its interaction with HLA-DRB1. What is the net effect on antigen presentation to CD4+ T cells?",Failure to present antigen,"1. MHC Class II complex assembly is an AND-gate bottleneck: all subunits (HLA-DRA, HLA-DRB1, CD74, HLA-DM) are essential for antigen presentation. 2. HLA-DM catalyzes CLIP removal from CD74, allowing antigen loading. 3. Loss-of-function in HLA-DM prevents CLIP removal, blocking antigen loading. 4. Enhanced CD74–HLA-DRB1 binding does not bypass the HLA-DM requirement. 5. Therefore, antigen presentation fails due to the HLA-DM mutation.","[""(HLA-DRB1, interacts_with, HLA-DRA)"", ""(HLA-DRB1, interacts_with, CD74)"", ""(CD74, binds_CLIP, invariant_chain)"", ""(HLA-DM, catalyzes_removal, CLIP_from_CD74)"", ""(HLA-DM_mutant, loss_of_function, prevents_CLIP_removal)"", ""(CD74_gain_of_function_mutant, enhances_interaction_with, HLA-DRB1)""]",6,uniprotkb:Q10567,70
"Protein CB1 (uniprotkb:P49407) is activated by the endogenous ligand 2-AG (ChEBI:71406) and inhibited by SR141716A (ChEBI:72587). In a neuron expressing CB1, Gαi (uniprotkb:P08172), and ADCY7 (uniprotkb:P41586), simultaneous application of 2-AG and SR141716A results in no change in cAMP levels. However, a mutation in Gαi that prevents its dissociation from CB1 causes cAMP levels to rise even in the presence of 2-AG and SR141716A. What does this reveal about the role of Gαi dissociation in CB1 signaling?",Gαi dissociation is necessary for CB1-mediated inhibition of cAMP production,"1. CB1 activation by 2-AG normally recruits Gαi, which inhibits ADCY7 and lowers cAMP. 2. SR141716A blocks CB1 activation, preventing Gαi recruitment and thus maintaining cAMP levels. 3. Simultaneous application of agonist and antagonist cancels out, leading to no net change in cAMP. 4. The Gαi mutation prevents its dissociation from CB1, locking it in an inactive state. 5. This means CB1 cannot recruit or activate Gαi even when stimulated by 2-AG. 6. Without functional Gαi inhibition, ADCY7 remains active, leading to cAMP accumulation regardless of CB1 ligands. Thus, Gαi dissociation is essential for transmitting CB1's inhibitory signal.","[""(2-AG, activates, CB1)"", ""(SR141716A, inhibits, CB1)"", ""(CB1, recruits, Gαi)"", ""(Gαi, inhibits, ADCY7)"", ""(ADCY7, produces, cAMP)"", ""(Gαi_mutant, prevents_dissociation_from, CB1)""]",6,uniprotkb:P49407,70
"Protein TICAM1 (Q9Y5B0) is essential for TLR4-mediated signaling. It forms a complex with TRAM (Q8WX92) to activate downstream IRF3. In a macrophage with a loss-of-function mutation in TRAM that disrupts its interaction with TICAM1, but expressing a constitutively active TICAM1 mutant that bypasses TRAM requirement, what is the effect on IRF3 activation? Justify the outcome.",IRF3 is activated despite TRAM mutation,"1. TLR4 signaling requires TICAM1 and TRAM to form a complex for IRF3 activation. 2. Wild-type TICAM1 depends on TRAM interaction to function. 3. A TRAM loss-of-function mutation disrupts this interaction, blocking signaling in wild-type TICAM1. 4. A constitutively active TICAM1 mutant bypasses the need for TRAM interaction. 5. Thus, IRF3 activation occurs independently of TRAM functionality when TICAM1 is constitutively active.","[""(TLR4, activates, TICAM1-TRAM_complex)"", ""(TICAM1-TRAM_complex, activates, IRF3)"", ""(TRAM_mutant, disrupts_interaction, TICAM1)"", ""(TICAM1_active_mutant, bypasses, TRAM_requirement)""]",4,uniprotkb:Q9Y5B0,70
"Protein C4BP (P0C0L4) acts as a cofactor for Factor I (P09871), facilitating the cleavage of complement C3b (P0C0L5) and C4b (P0C0L4). A patient has a mutation in Factor I that disrupts its binding to C4BP. Additionally, a monoclonal antibody blocks the interaction between C4BP and C4b. How will these two interventions affect the proteolytic inactivation of C4b?",Complete loss of C4b inactivation,"1. Factor I normally cleaves C4b to inactivate it. 2. C4BP acts as a cofactor for Factor I, enhancing its cleavage activity toward C4b. 3. The Factor I mutation disrupts binding to C4BP, preventing the cofactor-assisted cleavage. 4. The antibody blocks C4BP–C4b interaction, preventing C4BP from presenting C4b to Factor I. 5. Without C4BP binding, Factor I cannot efficiently cleave C4b. 6. Both interventions independently disrupt essential steps in the C4b inactivation pathway, leading to a complete loss of proteolytic inactivation.","[""(C4BP, binds_to, Factor_I)"", ""(Factor_I, cleaves, C4b)"", ""(C4BP, binds_to, C4b)"", ""(Factor_I_mutant, disrupts_binding_to, C4BP)"", ""(anti-C4BP_antibody, blocks, C4BP–C4b_interaction)""]",6,ChEBI:17002,70
"Protein CUL1 (Q8N668) is part of the SCF ubiquitin ligase complex with SKP1 (O60826). The complex targets CAND1 (Q96GG9) for degradation. In a cell expressing a dominant-negative SKP1 mutant that cannot bind CUL1, what happens to CAND1 levels and why?",CAND1 accumulates (increases),"1. The SCF complex requires CUL1-SKP1 interaction for assembly. 2. CUL1-SKP1 complex targets CAND1 for ubiquitin-mediated degradation. 3. Dominant-negative SKP1 mutant cannot bind CUL1, poisoning the entire complex. 4. Without functional SCF, ubiquitination fails. 5. Therefore, CAND1 escapes degradation and accumulates.","[""(CUL1, interacts_with, SKP1)"", ""(SKP1, part_of, SCF_complex)"", ""(SCF_complex, ubiquitinates, CAND1)"", ""(Ubiquitination, leads_to, degradation)"", ""(SKP1_mutant, dominant_negative, blocks_CUL1_binding)""]",5,uniprotkb:Q8N668,70
"The Cul4A-Rbx1 E3 ligase complex includes CUL4A, Rbx1, DDB1, and substrate receptors like DCAF7. A mutant DCAF7 (DCAF7_mut) loses its ability to bind to DDB1 but retains substrate recognition. If this mutant is overexpressed in cells with functional wild-type DCAF7, what effect does it have on the ubiquitination of substrates normally targeted by DCAF7?",Decreased ubiquitination,"1. The wild-type DCAF7 binds DDB1 to integrate into the Cul4A-Rbx1 complex. 2. This complex ubiquitinates DCAF7-specific substrates. 3. The mutant DCAF7 (DCAF7_mut) cannot bind DDB1 but still recognizes substrates. 4. Overexpression of DCAF7_mut creates non-functional complexes that occupy substrates without ubiquitinating them. 5. This acts as a dominant negative by sequestering substrates away from the functional wild-type complexes. 6. Thus, substrate ubiquitination decreases despite wild-type DCAF7 being present.","[""(DCAF7, binds_to, DDB1)"", ""(DDB1, part_of, Cul4A-Rbx1_complex)"", ""(Cul4A-Rbx1_complex, ubiquitinates, DCAF7_substrates)"", ""(DCAF7_mut, cannot_bind, DDB1)"", ""(DCAF7_mut, retains, substrate_binding)"", ""(DCAF7_mut, competes_for, substrates)""]",6,uniprotkb:O60826,70
"The SCF complex (containing SKP1, CUL1, RBX1, and an F-box protein like FBXL7) targets proteins for ubiquitination. In a cell, FBXL7 is mutated to lose its substrate-binding ability, while RBX1 (Q13425) is overexpressed. If the ubiquitination of a known FBXL7 substrate (e.g., CDC25A) is still impaired, what does this indicate about the role of FBXL7 in the SCF complex?",FBXL7 is essential for substrate recognition and cannot be bypassed by RBX1 overexpression,"1. The SCF complex requires SKP1, CUL1, RBX1, and an F-box protein (FBXL7) to function. 2. FBXL7 provides substrate specificity by binding CDC25A. 3. The FBXL7 mutation disrupts substrate binding, preventing CDC25A recruitment. 4. RBX1 overexpression enhances E2 ubiquitin-conjugating enzyme recruitment but cannot compensate for missing substrate recognition. 5. Thus, ubiquitination fails because the complex lacks the critical substrate-binding component (FBXL7), demonstrating that FBXL7 acts as a bottleneck (AND-gate constraint).","[""(SCF_complex, requires, SKP1)"", ""(SCF_complex, requires, CUL1)"", ""(SCF_complex, requires, RBX1)"", ""(SCF_complex, requires, F-box_protein)"", ""(FBXL7, is_a, F-box_protein)"", ""(FBXL7, binds, CDC25A)"", ""(FBXL7_mutant, loses, substrate_binding)"", ""(RBX1, recruits, E2_ubiquitin_ligase)"", ""(SCF_complex, ubiquitinates, CDC25A)""]",6,uniprotkb:Q16585,70
"The protein complex involving uniprotkb:Q92629 (Rho GTPase-activating protein 35) requires interactions with uniprotkb:O60941, uniprotkb:Q13884, uniprotkb:Q9NY99, uniprotkb:Q9Y4J8, uniprotkb:P46939, uniprotkb:Q13424, uniprotkb:Q13425, and uniprotkb:P11532 for full activity. If uniprotkb:Q9Y4J8 (Dynein light chain 1) has a dominant negative mutation that disrupts its interaction with the complex, but all other subunits are wild-type and expressed at high levels, what is the most likely functional outcome for Rho GTPase regulation, and why?",Loss of Rho GTPase regulation,"1. Rho GTPase regulation by Q92629 requires a multi-subunit complex with dynein components. 2. Q9Y4J8 (Dynein light chain 1) is a critical subunit for complex assembly. 3. A dominant negative mutation in Q9Y4J8 poisons the entire complex by disrupting its structural integrity. 4. Even if other subunits are abundant and functional, the defective Q9Y4J8 subunit prevents proper complex formation. 5. Without a functional complex, Q92629 cannot regulate Rho GTPase activity, leading to dysregulation.","[""(Q92629, forms_complex_with, O60941)"", ""(Q92629, forms_complex_with, Q13884)"", ""(Q92629, forms_complex_with, Q9NY99)"", ""(Q92629, forms_complex_with, Q9Y4J8)"", ""(Q92629, forms_complex_with, P46939)"", ""(Q92629, forms_complex_with, Q13424)"", ""(Q92629, forms_complex_with, Q13425)"", ""(Q92629, forms_complex_with, P11532)"", ""(Complex, regulates, Rho_GTPase)"", ""(Q9Y4J8_DN_mutant, disrupts, Complex_assembly)""]",4,uniprotkb:Q92629,70
"The protein complex required for DNA double-strand break repair includes RAD51 (uniprotkb:P25391) and multiple partners like BRCA2 (uniprotkb:P51587), PALB2 (uniprotkb:Q86YC2), and RAD51 paralogs. A cell line has a heterozygous BRCA2 mutation that disrupts its interaction with RAD51. However, overexpression of wild-type RAD51 partially rescues homologous recombination (HR) efficiency. What does this imply about the stoichiometric relationship between RAD51 and BRCA2 in the complex, and why is the rescue incomplete?",RAD51 functions as a multimer downstream of BRCA2; excess RAD51 compensates for reduced BRCA2-mediated loading but cannot overcome the loading bottleneck,"1. BRCA2 recruits RAD51 to DNA breaks via direct interaction. 2. RAD51 forms nucleoprotein filaments (multimers) essential for HR. 3. The BRCA2 mutation reduces RAD51 loading efficiency. 4. Overexpressed RAD51 increases local concentration, allowing more spontaneous filament assembly despite impaired recruitment. 5. However, BRCA2-mediated loading is more efficient; without it, filament formation remains suboptimal, limiting full rescue. Thus, RAD51 acts downstream but depends on BRCA2 for optimal function.","[""(BRCA2, recruits, RAD51)"", ""(RAD51, forms_multimer, RAD51_filament)"", ""(RAD51_filament, enables, HR)"", ""(BRCA2_mutant, disrupts_interaction_with, RAD51)"", ""(RAD51_overexpression, increases_concentration, RAD51)"", ""(RAD51_overexpression, partially_rescues, HR)""]",6,uniprotkb:P25391,70
"Protein O43237 (DVL2) is part of a Wnt signaling complex that requires interactions with multiple partners including Q9Y6G9 (LRP6), O14576 (AXIN1), Q96FJ2 (DACT1), Q13409 (RYK), Q14204 (NKD1), P63167 (DVL3), and others. In a cell line where DVL2 carries a dominant-negative mutation that disrupts its ability to bind to LRP6 (Q9Y6G9), but all other components are wild-type and Wnt ligand (ChEBI:37565) is present, what is the expected outcome for β-catenin stabilization and why?",β-catenin degradation continues (no stabilization),"1. Wnt ligand binding to receptors initiates a signaling cascade that recruits DVL2 to LRP6. 2. DVL2 acts as a scaffold, forming a complex with AXIN1, DACT1, RYK, NKD1, and other DVL isoforms (e.g., DVL3). 3. This complex prevents β-catenin degradation by sequestering AXIN1 away from the destruction complex. 4. The dominant-negative DVL2 mutant fails to bind LRP6, disrupting the critical upstream recruitment step. 5. Without proper localization and complex formation, AXIN1 remains active in the destruction complex, promoting β-catenin degradation. 6. Even though Wnt ligand is present and other partners are functional, the dominant-negative effect of mutated DVL2 poisons the entire complex assembly process.","[""(Wnt_ligand, binds, LRP6)"", ""(LRP6, recruits, DVL2)"", ""(DVL2, scaffolds, AXIN1)"", ""(DVL2, scaffolds, DACT1)"", ""(DVL2, scaffolds, RYK)"", ""(DVL2, scaffolds, NKD1)"", ""(DVL2, interacts_with, DVL3)"", ""(AXIN1, promotes_degradation_of, β-catenin)"", ""(DVL2_dominant_negative_mutant, disrupts_binding_to, LRP6)""]",8,uniprotkb:O43237,70
"A complex containing DVL1 (Q9Y6G9) requires interactions with DVL2 (O43237), DVL3 (Q92913), and FZD receptors. In a cell where DVL3 is knocked out but DVL2 is overexpressed, and a FZD receptor (FZD4; Q9UJW0) carries a dominant negative mutation that disrupts DVL binding, what is the expected impact on Wnt signaling complex formation?",Signaling complex fails to form,"1. The Wnt signaling complex requires DVL1, DVL2, DVL3, and FZD receptors to interact properly. 2. Overexpression of DVL2 cannot compensate for the loss of DVL3 due to knockout, as both are essential subunits (AND-gate constraint). 3. The dominant negative FZD4 mutation disrupts DVL binding, preventing the complex from forming regardless of DVL levels. 4. Therefore, despite DVL2 overexpression, the absence of DVL3 and defective FZD4 leads to failure in complex assembly.","[""(DVL1, interacts_with, DVL2)"", ""(DVL1, interacts_with, DVL3)"", ""(DVL1, interacts_with, FZD4)"", ""(FZD4_dominant_negative_mutant, disrupts, DVL_binding)"", ""(DVL3_knockout, deletes, DVL3)""]",5,uniprotkb:Q9Y6G9,70
"In a signaling pathway, the protein IL1R1 (Q13409) forms a complex with IL1RAP (Q9NPH3) upon IL1 binding. Mutations in IL1RAP prevent complex formation. A cell line is engineered with a mutation in IL1R1 that allows IL1 binding but blocks IL1RAP recruitment. If this cell is treated with IL1, what is the expected outcome for downstream NFκB activation, and why?",No activation,"1. IL1 binding to IL1R1 normally recruits IL1RAP to form the active receptor complex. 2. This complex triggers downstream signaling leading to NFκB activation. 3. The IL1R1 mutation allows ligand binding but specifically blocks IL1RAP recruitment. 4. Without IL1RAP, the signaling complex cannot assemble properly. 5. Thus, even with IL1 present, downstream NFκB activation fails because the critical AND-gate complex (IL1R1 + IL1RAP) is incomplete.","[""(IL1, binds, IL1R1)"", ""(IL1R1, recruits, IL1RAP)"", ""(IL1R1:IL1RAP_complex, activates, NFκB_pathway)"", ""(IL1R1_mutant, binds, IL1)"", ""(IL1R1_mutant, blocks_recruitment_of, IL1RAP)""]",4,uniprotkb:Q13409,70
"In a cellular model of cytoskeletal dynamics, the target protein DIAPH1 (O14576) forms a complex with ROCK2 (Q13409), LIMK1 (P53667), and SSH1 (Q8WYL5) to regulate cofilin phosphorylation. A mutation in ROCK2 prevents its activation by RhoA, while DIAPH1 is overexpressed. If SSH1 phosphatase activity is inhibited, what happens to cofilin phosphorylation levels and why?",Persistently High Phosphorylation,"1. DIAPH1 acts as a scaffold promoting ROCK2-mediated LIMK1 activation. 2. Activated LIMK1 phosphorylates cofilin, inactivating it. 3. SSH1 normally dephosphorylates cofilin to reactivate it. 4. ROCK2 mutation prevents RhoA-induced activation, so no upstream signal for phosphorylation. 5. However, DIAPH1 overexpression bypasses RhoA dependency by constitutively scaffolding the complex. 6. Overexpressed DIAPH1 forces LIMK1 activation even without ROCK2 input. 7. Inhibiting SSH1 removes the dephosphorylation mechanism. 8. Thus, cofilin phosphorylation remains high due to forced LIMK1 activity and blocked dephosphorylation.","[""(RhoA, activates, ROCK2)"", ""(ROCK2, phosphorylates, LIMK1)"", ""(LIMK1, phosphorylates, cofilin)"", ""(DIAPH1, scaffolds, ROCK2-LIMK1_complex)"", ""(SSH1, dephosphorylates, cofilin)"", ""(ROCK2_mutant, loss_of_activation, RhoA)"", ""(DIAPH1_overexpression, constitutively_activates, LIMK1)"", ""(SSH1_inhibitor, blocks, SSH1_phosphatase_activity)""]",8,uniprotkb:O14576,70
"Protein Q14204 (Dynein light chain 1, cytoplasmic) forms a complex with Q13409 (Dynactin subunit 1), P63167 (Dynein light chain Tctex-type 1), O14576 (Dynein light chain LC8-type 1), O43237 (Dynein light chain LC8-type 2), and Q9Y6G9 (Dynein light chain roadblock-type 1) to bind cargo. In a cell expressing a Q14204 mutant that cannot bind Q13409, but all other interactions are intact, what is the expected impact on retrograde transport of vesicles?",Impaired retrograde transport due to cargo-binding failure,"1. Q14204 is part of the cytoplasmic dynein complex that binds cargo via dynactin (Q13409). 2. The mutant Q14204 loses its specific interaction with dynactin subunit 1 (Q13409). 3. Without this interaction, the dynein complex cannot properly attach to cargo vesicles. 4. Other light chains (e.g., P63167, O14576) remain bound but cannot compensate for the loss of dynactin-mediated cargo binding. 5. Retrograde transport fails due to the cargo-binding defect, even though motor assembly is intact.","[""(Q14204, forms_complex_with, Q13409)"", ""(Q14204, forms_complex_with, P63167)"", ""(Q14204, forms_complex_with, O14576)"", ""(Q14204, forms_complex_with, O43237)"", ""(Q14204, forms_complex_with, Q9Y6G9)"", ""(Dynein_complex, binds_cargo_via, Dynactin_Q13409)"", ""(Q14204_mutant, cannot_bind, Q13409)""]",7,uniprotkb:Q14204,70
"A signaling cascade involves the target protein ChEBI:17996 and its partners including uniprotkb:P39086 (KIF1A), uniprotkb:Q13002 (MAP2), uniprotkb:Q13003 (MAP2K2), uniprotkb:Q92796 (GRIN2A), and uniprotkb:P78352 (GRIN2B). In a neuronal system where KIF1A and MAP2 form a complex to transport ChEBI:17996, but a mutation in MAP2 disrupts its binding to KIF1A, while ChEBI:17996 is overexpressed. What is the likely outcome for the transport and synaptic localization of ChEBI:17996, and why?",Failed transport despite overexpression,"1. KIF1A and MAP2 form a complex essential for transporting ChEBI:17996 to synapses. 2. This complex acts as an AND-gate bottleneck: both subunits must bind correctly. 3. The MAP2 mutation disrupts KIF1A-MAP2 interaction, preventing complex formation. 4. Without the functional complex, transport machinery fails to assemble. 5. Overexpression of ChEBI:17996 does not compensate for the transport defect because the cargo cannot be loaded without the carrier complex. 6. Thus, synaptic localization fails due to the upstream complex disruption.","[""(KIF1A, interacts_with, MAP2)"", ""(KIF1A:MAP2_complex, transports, ChEBI:17996)"", ""(MAP2_mutant, disrupts_binding_to, KIF1A)"", ""(ChEBI:17996_overexpressed, cargo, KIF1A:MAP2_complex)""]",4,ChEBI:17996,70
"Protein VTN (P04004) forms a complex with integrin alpha-V beta-3 (Q9Y6C2 and P15502), which recruits and activates C5 (P01031) in the complement cascade. If a mutation in VTN prevents its binding to integrin alpha-V beta-3, but C5 is overexpressed in a constitutively active form, what is the effect on the downstream cleavage of C5 to C5a and C5b, and why?",Cleavage occurs normally,"1. VTN normally binds integrin alpha-V beta-3, facilitating recruitment of C5 to the complex. 2. This recruitment positions C5 for cleavage by proteases like C5 convertase (involving P13671, P10643, P02748). 3. A VTN mutation that disrupts integrin binding prevents VTN-mediated recruitment of wild-type C5. 4. However, overexpression of constitutively active C5 bypasses the need for recruitment by VTN-integrin. 5. Active C5 is inherently prone to cleavage by soluble or membrane-bound C5 convertase. 6. Thus, C5a and C5b production proceeds independently of VTN-integrin scaffolding in this scenario.","[""(VTN, binds, integrin_alpha-V_beta-3)"", ""(integrin_alpha-V_beta-3, recruits, C5)"", ""(C5, cleaved_by, C5_convertase)"", ""(C5_convertase, produces, C5a)"", ""(C5_convertase, produces, C5b)"", ""(VTN_mutant, prevents_binding, integrin_alpha-V_beta-3)"", ""(C5_active_mutant, bypasses, recruitment)""]",7,uniprotkb:P04004,70
"Protein FYN (O75051) interacts with CD3Z (O14786) and LCK (P06241) in T cell receptor signaling. In a T cell expressing a constitutively active LCK mutant that bypasses TCR engagement, but FYN has a loss-of-function mutation that prevents its interaction with CD3Z. What is the effect on downstream ZAP70 phosphorylation, and why?",Normal ZAP70 phosphorylation,"1. FYN normally interacts with CD3Z upon TCR engagement to phosphorylate ZAP70. 2. LCK also phosphorylates ZAP70 independently. 3. The constitutively active LCK mutant continuously phosphorylates ZAP70 without TCR input. 4. FYN's loss-of-function mutation prevents its contribution via CD3Z. 5. However, LCK's constitutive activity fully compensates for FYN's absence. 6. Therefore, ZAP70 phosphorylation occurs normally due to epistasis (LCK overrides FYN's defect).","[""(FYN, interacts_with, CD3Z)"", ""(FYN, phosphorylates, ZAP70)"", ""(LCK, phosphorylates, ZAP70)"", ""(LCK_active_mutant, bypasses, TCR_engagement)"", ""(FYN_mutant, prevents_interaction_with, CD3Z)"", ""(ZAP70_phosphorylation, requires, LCK_or_FYN)""]",6,uniprotkb:O75051,70
"TNF (P01375) binds to TNFR1 (P19438) and activates a signaling cascade involving TRADD (Q15628), RIPK1 (Q13546), and TRAF2 (Q12933). A cell line expresses TNF, TNFR1, TRADD, RIPK1, and TRAF2. TNF stimulation normally leads to NF-κB activation via the canonical pathway. However, when a RIPK1 inhibitor is applied, NF-κB activation is blocked. Overexpression of a constitutively active TRAF2 mutant restores NF-κB activation even in the presence of the RIPK1 inhibitor. What does this imply about the position of TRAF2 relative to RIPK1 in the signaling cascade, and why does the rescue occur?",TRAF2 acts downstream of RIPK1 and can bypass the inhibition,"1. TNF binds TNFR1, recruiting TRADD. 2. TRADD recruits RIPK1 and TRAF2. 3. RIPK1 and TRAF2 form a complex that activates downstream kinases (IKK) leading to NF-κB activation. 4. The RIPK1 inhibitor blocks RIPK1 function, preventing complex formation and subsequent signaling. 5. A constitutively active TRAF2 mutant does not require RIPK1 for its activity. 6. Therefore, overexpressed active TRAF2 directly activates downstream kinases, restoring NF-κB activation independently of RIPK1 inhibition, placing TRAF2 downstream of RIPK1.","[""(TNF, binds, TNFR1)"", ""(TNFR1, recruits, TRADD)"", ""(TRADD, recruits, RIPK1)"", ""(TRADD, recruits, TRAF2)"", ""(RIPK1, interacts_with, TRAF2)"", ""(TRAF2, activates, IKK_complex)"", ""(IKK_complex, activates, NF-κB)"", ""(RIPK1_inhibitor, blocks, RIPK1)"", ""(TRAF2_active_mutant, bypasses, RIPK1_requirement)""]",6,uniprotkb:P01375,70
"In a signaling pathway, protein Q8NEB9 (VPS29) forms a complex with VPS26A (Q9C0C7) and VPS35 (Q96FJ2) as part of the retromer complex. This complex mediates retrograde transport from endosomes to the Golgi. A mutation in VPS35 (Q96FJ2) disrupts its interaction with VPS29 (Q8NEB9). Simultaneously, an inhibitor prevents the recruitment of SNX27 (Q96FJ2) to the retromer complex. What is the net effect on cargo retrieval efficiency, and why?",Severe impairment,"1. The retromer complex (VPS29-VPS35-VPS26) is required for cargo sorting and retrieval. 2. VPS35 acts as a scaffold, binding VPS29 and cargo adaptors like SNX27. 3. The VPS35 mutation disrupts VPS29 binding, preventing retromer assembly (Bottleneck constraint: all subunits needed). 4. Inhibiting SNX27 recruitment blocks cargo recognition independently. 5. Without a functional retromer core, cargo adaptors cannot compensate. 6. Thus, both defects synergistically abolish retrieval.","[""(VPS29, interacts_with, VPS35)"", ""(VPS35, interacts_with, VPS26)"", ""(Retromer, mediates, retrograde_transport)"", ""(SNX27, recruits_to, Retromer)"", ""(VPS35_mutant, disrupts, VPS29_interaction)"", ""(SNX27_inhibitor, blocks, SNX27_recruitment)""]",5,uniprotkb:Q8NEB9,69
"Protein BECN1 (Q14457) is a key component of the PI3KC3 complex, which also includes PIK3C3 (Q8NEB9) and ATG14 (Q6ZNE5). In a cellular model of autophagy, the complex requires both ATG14 and BECN1 to bind PIK3C3 for full activity. If a mutant form of ATG14 (ATG14-mut) cannot bind to PIK3C3 but still dimerizes with BECN1, what is the expected effect on autophagosome formation when wild-type ATG14 is replaced by ATG14-mut?",Autophagosome formation fails,"1. The PI3KC3 complex requires ATG14, BECN1, and PIK3C3 to form a functional unit. 2. ATG14-mut retains the ability to dimerize with BECN1 but cannot bind PIK3C3. 3. Without ATG14 bridging BECN1 to PIK3C3, the complex fails to assemble. 4. This creates a bottleneck (AND-gate logic) where all subunits are essential. 5. Thus, autophagosome formation, which depends on PI3KC3 activity, cannot proceed.","[""(ATG14, binds, PIK3C3)"", ""(BECN1, binds, ATG14)"", ""(ATG14–BECN1_dimer, required_for, PI3KC3_complex_assembly)"", ""(PI3KC3_complex, catalyzes, autophagosome_formation)"", ""(ATG14-mut, cannot_bind, PIK3C3)"", ""(ATG14-mut, dimerizes_with, BECN1)""]",6,uniprotkb:Q99570,69
"In a neuronal signaling pathway, the protein TSC2 (Q13501) forms a complex with TSC1 (O94817) to inhibit mTORC1 activation. Simultaneously, TSC2 is inhibited by phosphorylation from AKT1 (P31749) upon growth factor stimulation. If a mutation prevents TSC2 from binding to TSC1, but AKT1 is also inhibited, what is the net effect on mTORC1 activity and why?",High mTORC1 activity,"1. TSC2 must bind TSC1 to form the functional TSC complex that inhibits mTORC1. 2. AKT1 phosphorylates TSC2 to inhibit its function, thereby promoting mTORC1 activation. 3. The mutation preventing TSC2-TSC1 binding disrupts TSC complex formation, so mTORC1 inhibition is lost regardless of AKT1. 4. Inhibiting AKT1 would normally prevent TSC2 inhibition, but since the TSC complex is non-functional due to the binding mutation, there is no functional TSC to activate. 5. Therefore, mTORC1 remains uninhibited and highly active.","[""(TSC2, binds, TSC1)"", ""(TSC1-TSC2_complex, inhibits, mTORC1)"", ""(AKT1, phosphorylates, TSC2)"", ""(AKT1_phosphorylation, inhibits, TSC2_function)"", ""(mTORC1, activated_when, TSC_inhibited)""]",5,uniprotkb:Q13501,69
"Growth hormone receptor (GHR, P10912) signals through JAK2 (O60674) to activate STAT5B (P42224) and STAT3 (P40763). In a cell line with a constitutively active JAK2 mutant (V617F), GHR is overexpressed. However, a dominant-negative STAT5B mutant (lacking its transactivation domain) is also introduced. What is the net effect on STAT3 phosphorylation and why?",Increased STAT3 phosphorylation,"1. GHR activates JAK2 upon ligand binding. 2. The JAK2 V617F mutant is constitutively active, bypassing GHR requirement. 3. JAK2 phosphorylates both STAT5B and STAT3. 4. Dominant-negative STAT5B cannot transactivate target genes but does not block JAK2 activity. 5. STAT3 phosphorylation depends solely on JAK2 activity, which is constitutively high. 6. Therefore, STAT3 phosphorylation increases independently of STAT5B dysfunction.","[""(GHR, activates, JAK2)"", ""(JAK2_V617F, constitutively_active, true)"", ""(JAK2, phosphorylates, STAT5B)"", ""(JAK2, phosphorylates, STAT3)"", ""(STAT5B_DN_mutant, dominant_negative, STAT5B_target_gene_activation)"", ""(STAT3_phosphorylation, depends_on, JAK2_activity)""]",6,uniprotkb:P10912,69
"The protein YES1 (P07947) forms complexes with CSF1R (Q6ZMJ4) and FGR (P07333) in contexts like R-HSA-389153 and R-HSA-9818000. In a CSF1R signaling pathway, YES1 is recruited to phosphorylate specific targets. If CSF1R is mutated to have constitutively active kinase activity, but YES1 carries a kinase-dead mutation that prevents phosphorylation, what is the most likely outcome on downstream signaling (e.g., MAPK activation), and why?",Signaling fails despite hyperactive CSF1R,"1. CSF1R activation recruits YES1 to the signaling complex. 2. YES1 phosphorylates key substrates required for downstream signal propagation (e.g., MAPK pathway). 3. A constitutively active CSF1R mutation would hyperactivate its own kinase domain and enhance recruitment of YES1. 4. However, YES1's kinase-dead mutation prevents phosphorylation of its substrates. 5. Since YES1 acts as a necessary AND-gate component (its phosphorylation is essential for the signal), the pathway fails regardless of CSF1R's hyperactivity. 6. This demonstrates a Bottleneck constraint: YES1's catalytic function is indispensable even if upstream steps are enhanced.","[""(CSF1R, recruits, YES1)"", ""(YES1, phosphorylates, downstream_targets)"", ""(downstream_targets, activate, MAPK_pathway)"", ""(CSF1R_hyperactive_mutant, enhances, YES1_recruitment)"", ""(YES1_kinase_dead_mutant, prevents, phosphorylation)"", ""(phosphorylation, required_for, MAPK_activation)""]",6,uniprotkb:P07947,69
